City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Marystown,47.1666,-55.1483,54.86,100,100,1.99,overcast clouds
301,Kaitangata,-46.2817,169.8464,56.14,63,9,6.35,clear sky
302,Vostok,46.4856,135.8833,61.9,38,98,2.62,overcast clouds
303,Catamarca,-28.4696,-65.7852,47.77,86,10,1.99,clear sky
304,Yongan,39.6957,113.6871,56.71,46,22,20.78,few clouds
305,Hienghene,-20.6833,164.9333,76.28,67,38,8.93,scattered clouds
306,Winnemucca,40.973,-117.7357,53.65,58,0,11.5,clear sky
307,Montrose,38.4166,-108.2673,49.51,94,84,4.05,broken clouds
308,Kongwa,-6.2,36.4167,61.47,90,96,4.14,overcast clouds
309,Pompeu,-19.2244,-44.9353,75.15,54,98,4.5,overcast clouds
310,Port Shepstone,-30.7414,30.455,58.24,77,0,6.78,clear sky
311,Pacific Grove,36.6177,-121.9166,71.02,84,0,5.75,clear sky
312,Vallenar,-28.5708,-70.7581,62.1,31,2,3.85,clear sky
313,Adrar,20.5022,-10.0711,89.28,41,100,7.07,overcast clouds
314,Lazaro Cardenas,17.9583,-102.2,78.15,86,98,4.18,overcast clouds
315,Huarmey,-10.0681,-78.1522,62.06,86,81,9.33,broken clouds
316,Lesnoy,57.6198,63.0784,53.55,74,100,2.55,overcast clouds
317,Agadez,19.75,10.25,85.66,24,0,7.11,clear sky
318,Maloy,61.9353,5.1136,57.72,65,100,20.83,overcast clouds
319,Novyy Nekouz,57.9029,38.07,46.85,91,100,7.63,overcast clouds
320,Zapolyarnyy,69.4154,30.8136,43.88,88,100,6.42,overcast clouds
321,Juneau,58.3019,-134.4197,54.21,98,100,4.61,light rain
322,Smithers,54.7804,-127.1743,57.52,72,0,3.44,clear sky
323,Griffith,41.5284,-87.4237,70.95,58,0,14.97,clear sky
324,Bara,10.3744,10.7288,72.95,82,17,3.2,few clouds
325,Lorengau,-2.0226,147.2712,85.46,63,25,3.06,scattered clouds
326,Mildura,-34.2,142.15,63.07,80,100,10.67,overcast clouds
327,Mitchell,43.7094,-98.0298,58.1,42,0,6.91,clear sky
328,Korla,41.7597,86.1469,75.24,19,99,5.3,overcast clouds
329,Penzance,50.1186,-5.5371,50.68,80,78,9.42,broken clouds
330,Luderitz,-26.6481,15.1594,56.71,57,0,7.87,clear sky
331,Inuvik,68.3499,-133.7218,45.46,65,75,5.75,broken clouds
332,Karpogory,64.0019,44.4451,34.68,96,25,4.05,scattered clouds
333,Bubaque,11.2833,-15.8333,78.19,82,100,10.45,overcast clouds
334,Okhotsk,59.3833,143.3,46.65,38,0,27.89,clear sky
335,Praia Da Vitoria,38.7333,-27.0667,71.76,100,0,4.83,clear sky
336,Dakar,14.6937,-17.4441,79.68,76,100,10.02,overcast clouds
337,Mahibadhoo,3.7833,72.9667,81.72,72,53,6.96,broken clouds
338,Ancud,-41.8697,-73.8203,47.23,91,100,12.26,light rain
339,Chapadinha,-3.7417,-43.3603,73.83,87,4,5.28,clear sky
340,Meulaboh,4.1363,96.1285,78.87,72,95,2.06,overcast clouds
341,Geraldton,-28.7667,114.6,66.61,63,40,9.22,scattered clouds
